Score,major,section,premath_ach,stat_att,study_hour,solve,Hash_Name
5,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 5,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,1cda4f63
2,ภาษาอังกฤษ,ตอนเรียนที่ 1,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,4cf706e8
5,เทคโนโลยีการศึกษา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,8fdd0002
5,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 2,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,6a9d2107
7,ดนตรีศึกษา,ตอนเรียนที่ 5,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",11609f79
7,ประถมศึกษา,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,53871627
7,ประถมศึกษา,ตอนเรียนที่ 7,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,46cbc12c
7,ประถมศึกษา,ตอนเรียนที่ 7,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,351ff633
7,ประถมศึกษา,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,407d7a84
7,ประถมศึกษา,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,00ec812a
7,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,bd8518bb
7,มัธยมศึกษา สังคมศึกษา,ตอนเรียนที่ 7,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,a59cb77e
3,ประถมศึกษา,ตอนเรียนที่ 8,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,17d6c67a
6,ดนตรีไทย,ตอนเรียนที่ 4,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,6bac9bdd
3,เทคโนโลยีการศึกษา,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,04a706b3
6,เทคโนโลยีการศึกษา,ตอนเรียนที่ 9,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",b62be750
2,ดนตรีศึกษา,ตอนเรียนที่ 4,มีพื้นฐานน้อย,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,6b76a173
6,ดนตรีศึกษา,ตอนเรียนที่ 4,มีพื้นฐานน้อย,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,1d8bf45c
7,สุขศึกษาเเละพลศึกษา,ตอนเรียนที่ 3,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,e03abe94
3,วิทยาศาสตร์ทั่วไป,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,8c736d5a
3,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 9,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,0f3ac770
7,ประถมศึกษา,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,มากกว่า 2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",286a2457
3,ดนตรีศึกษา,ตอนเรียนที่ 6,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,มากกว่า 2 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,80ab4ec2
7,เทคโนโลยีการศึกษา,ตอนเรียนที่ 9,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,bc53e98c
6,สังคมศึกษา,ตอนเรียนที่ 7,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,fdbb4e13
5,วิทยาศาสตร์ทั่วไป,ตอนเรียนที่ 1,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,f4f7c7f1
7,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 4,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,2bdc120c
6,วิทยาศาสตร์ทั่วไป,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,8729bf10
6,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,7d006bda
7,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,f361bfb2
7,สุขศึกษาเเละพลศึกษา,ตอนเรียนที่ 2,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,มากกว่า 2 ชั่วโมง,ถามอาจารย์,812958ac
6,สังคมศึกษา,ตอนเรียนที่ 2,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,มากกว่า 2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,8688cb54
6,เทคโนโลยีการศึกษา,ตอนเรียนที่ 1,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,ค้นคว้าเองทาง internet,d6862f01
3,สังคมศึกษา,ตอนเรียนที่ 2,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,33052699
7,ฟิสิกส์,ตอนเรียนที่ 3,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,40582099
6,เคมี,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,มากกว่า 2 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,efd569a3
5,เคมี,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,มากกว่า 2 ชั่วโมง,ถามอาจารย์,88b42e72
5,เคมี,ตอนเรียนที่ 6,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,fba5d98c
6,ดนตรีศึกษา,ตอนเรียนที่ 7,มีพื้นฐานน้อย,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,f1ee0c7d
3,ดนตรีไทย,ตอนเรียนที่ 4,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,8d269160
3,ดนตรีศึกษา,ตอนเรียนที่ 4,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,bfa11486
2,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 5,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,122eba41
4,ภาษาอังกฤษ,ตอนเรียนที่ 6,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,437dc98b
6,เคมี,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,94fdfaf0
7,มัธยมศึกษา (วิทยาศาสตร์) เอกเคมี,ตอนเรียนที่ 6,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,3c19045a
7,ดนรีสากล,ตอนเรียนที่ 5,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,มากกว่า 2 ชั่วโมง,ค้นคว้าเองทาง internet,425eeacc
7,ประถมศึกษา,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,795d0f73
4,ชีววิทยา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,5d1b629d
5,ชีววิทยา,ตอนเรียนที่ 9,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,a20248cf
2,สังคมศึกษา,ตอนเรียนที่ 7,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,d7a76f3f
1,สาขามัธยมศึกษา(วิทยาศาสตร์) วิชาเอกฟิสิกส์,ตอนเรียนที่ 3,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,5168fa4b
6,ประถมศึกษา,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,9ebbcf14
7,มัธยมศึกษา (วิทยาศาสตร์ทั่วไป),ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,8201d175
7,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 5,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,มากกว่า 2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,3c927d10
5,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 4,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,15403f0c
6,วิทยาศาสตร์ทั่วไป,ตอนเรียนที่ 8,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,262517a2
7,ภาษาอังกฤษ,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,2b0c099e
4,มัธยมอังกฤษ,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,30aba6c1
6,สุขศึกษาเเละพลศึกษา,ตอนเรียนที่ 9,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,ไม่ได้ทบทวน,"ใช้ Generative AI เช่น ChatGPT, Gemini",2562b233
6,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,1ffa44d3
6,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 4,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,รู้สึกสนใจและคาดหวังว่าจะสนุก,มากกว่า 2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",7195e5bf
7,เคมี,ตอนเรียนที่ 3,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,8fd2f2dd
7,สาขามัธยมศึกษา(วิทยาศาสตร์) เอกชีววิทยา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,d4d21036
7,สาขามัธยมศึกษา(วิทยาศาสตร์) เอกชีววิทยา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,9dfd09ab
7,เคมี,ตอนเรียนที่ 6,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,24d4a9b0
6,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",674226f1
6,สังคมศึกษา,ตอนเรียนที่ 7,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,มากกว่า 2 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,0aab4bd4
5,ภาษาอังกฤษ,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,e6f0af42
4,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 4,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,e5edf935
6,ดนตรีสากล,ตอนเรียนที่ 5,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,0146eadb
7,ดนตรีศึกษา,ตอนเรียนที่ 5,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,ไม่ได้ทบทวน,ค้นคว้าเองทาง internet,ed5000bc
7,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,c594e6de
7,ประถมศึกษา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,bb910a4a
4,ฟิสิกส์,ตอนเรียนที่ 3,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,4054c3ee
7,ชีววิทยา,ตอนเรียนที่ 8,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,813b5552
7,วิทยาศาสตร์ทั่วไป,ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,146bdb7b
4,สุขศึกษาเเละพลศึกษา,ตอนเรียนที่ 3,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,50e88d22
6,มัธยมวิทย์(เคมี),ตอนเรียนที่ 6,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,15023c30
7,สาขาประถมศึกษา,ตอนเรียนที่ 8,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,9f7f499f
4,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,c2fe0998
4,มัธยมศึกษา (มนุษยศาสตร์และสังคมศาสตร์) เอกวิชาสังคมศึกษา,ตอนเรียนที่ 7,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,รู้สึกสนใจและคาดหวังว่าจะสนุก,น้อยกว่า 1 ชั่วโมง,ค้นคว้าเองทาง internet,c0bc6e8c
7,ประถมศึกษา,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,be5e48c2
4,วิทย์-คณิต,ตอนเรียนที่ 8,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,a642e319
7,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 4,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,0e6ad8a2
6,สุขศึกษาและพลศึกษา,ตอนเรียนที่ 3,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,171950cc
1,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 2,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,3fe3aec2
6,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 5,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,769deeb5
7,ชีววิทยา,ตอนเรียนที่ 8,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,3eef1fa6
6,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 4,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",366e17d7
7,ดนตรีศึกษา,ตอนเรียนที่ 5,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,93cd465f
