"age","years_study","major","level","work_status","gpa","credits_per_term","withdrawal_count","failed_courses","scholarship_status","family_income","monthly_expense","payment_status","absence_count","activity_participation","library_usage","distance_from_home","accommodation_type","commute_hours","academic_risk"
27,1,"Science","Undergraduate","Not Working",2.71,14,0,0,"None",61285,11592,NA,0,4,NA,14,"Home",0.6,"Low Risk"
18,4,"Liberal Arts","Undergraduate","Working",1.93,12,2,0,"None",124287,8058,"Current",20,1,5,41,"Home",1.6,"Medium Risk"
21,4,"Science","Undergraduate","Not Working",1.87,19,1,0,"None",5450,13280,"Delayed",1,1,7,800,"Dormitory",1,"Low Risk"
22,1,"Business","Undergraduate","Not Working",2.65,15,0,0,"Full",24988,12143,"Current",9,1,5,47,"Home",1.9,"Low Risk"
19,4,"Medicine","Graduate","Not Working",2.88,10,0,0,"None",134925,12552,"Current",4,4,5,74,"Home",3,"Low Risk"
22,3,"Business","Undergraduate","Working",2.39,10,0,0,"None",25649,9371,"Current",14,0,6,54,"Apartment",0.3,"Low Risk"
24,1,"Engineering","Graduate","Not Working",2.36,11,1,0,"None",12067,12716,"Delayed",4,2,8,35,"Apartment",0.3,"Low Risk"
18,1,"Liberal Arts","Undergraduate","Not Working",2.35,21,1,0,"None",74485,8097,"Current",14,1,6,48,"Home",1.9,"Medium Risk"
19,6,"Science","Undergraduate","Not Working",1.33,12,0,1,"None",104695,9653,"Current",16,2,1,65,"Home",2.6,"Medium Risk"
21,5,"Engineering","Undergraduate",NA,0.7,15,4,0,"None",57647,12332,NA,12,1,3,28,"Home",1.1,"High Risk"
23,3,"Engineering","Undergraduate","Not Working",1.42,14,0,0,"None",4556,14503,"Delayed",17,3,4,23,"Home",0.9,"Medium Risk"
22,2,"Liberal Arts","Graduate","Not Working",2.6,12,0,0,"None",58547,9197,"Current",0,3,6,800,"Dormitory",0.6,"Low Risk"
19,4,"Engineering","Undergraduate","Not Working",1.51,14,1,0,"None",NA,15246,NA,11,2,3,55,"Home",2.2,"Medium Risk"
22,4,"Liberal Arts","Undergraduate",NA,1.89,18,1,0,"None",41758,9595,NA,7,1,4,89,"Apartment",1.4,"Low Risk"
20,4,"Engineering","Graduate","Not Working",3.43,11,0,0,"Partial",68331,12621,"Current",0,2,9,105,"Apartment",1.2,"Low Risk"
18,3,"Business","Undergraduate","Not Working",2.13,17,1,1,"None",22377,9754,NA,3,3,6,17,"Home",0.7,"Low Risk"
23,6,"Liberal Arts","Undergraduate","Not Working",2.51,14,0,0,"None",63685,14293,"Delayed",4,5,7,563,"Dormitory",0.4,"Low Risk"
22,2,"Medicine","Undergraduate","Not Working",3.01,19,0,0,"None",13849,16660,"Delayed",0,4,9,159,"Dormitory",1.4,"Low Risk"
23,5,"Science","Undergraduate","Not Working",2.5,21,1,0,"Partial",NA,14159,"Delayed",2,4,NA,14,"Home",0.6,"Low Risk"
22,1,"Business","Undergraduate","Not Working",2.57,20,0,0,"None",83553,11026,"Current",0,4,4,175,"Dormitory",0.3,"Low Risk"
20,3,"Engineering","Graduate","Not Working",1.12,12,2,0,"None",22421,11407,"Delayed",15,0,5,116,"Dormitory",1.2,"Medium Risk"
24,4,"Engineering","Undergraduate","Working",3.02,14,0,0,"None",14836,8914,"Delayed",11,1,7,127,"Dormitory",0.3,"Low Risk"
19,3,"Liberal Arts","Undergraduate",NA,1.34,12,2,2,"Partial",29105,13170,"Current",13,1,4,214,"Dormitory",0.4,"High Risk"
25,4,"Medicine","Undergraduate",NA,2.64,14,0,0,"None",52661,13126,NA,0,4,NA,192,"Dormitory",0.8,"Low Risk"
21,1,"Business","Undergraduate","Not Working",2.43,12,0,0,"None",92814,9665,"Current",0,3,6,5,"Home",0.5,"Low Risk"
21,1,"Business","Graduate","Not Working",3.19,12,0,0,"Full",32035,7276,"Current",3,3,9,57,"Home",2.3,"Low Risk"
21,5,"Medicine","Undergraduate","Working",3.22,10,0,0,"None",12943,14237,NA,11,2,5,236,"Dormitory",1.2,"Low Risk"
22,5,"Liberal Arts","Undergraduate",NA,1,15,2,2,"None",NA,11154,NA,18,1,4,81,"Apartment",0.4,"High Risk"
21,3,"Medicine","Undergraduate","Working",3.05,15,1,0,"None",33631,15466,"Current",7,1,5,44,"Apartment",0.4,"Low Risk"
22,4,"Liberal Arts","Undergraduate","Working",1.24,14,8,2,"None",30822,10019,"Current",20,0,2,48,"Apartment",1.5,"High Risk"
20,1,"Engineering","Graduate","Not Working",1.48,8,1,0,"None",30416,11368,NA,13,1,5,35,"Apartment",1.1,"Medium Risk"
23,1,"Business","Undergraduate","Not Working",3.54,13,0,0,"Partial",49537,9618,"Current",0,4,8,25,"Home",1,"Low Risk"
24,3,"Engineering","Undergraduate","Not Working",2.52,17,0,0,"None",48495,12748,"Current",1,1,8,288,"Apartment",0.6,"Low Risk"
23,4,"Liberal Arts","Undergraduate",NA,1.25,13,1,0,"None",68489,10021,"Current",18,2,0,56,"Home",2.2,"Medium Risk"
20,2,"Business","Undergraduate","Not Working",2.09,18,1,1,"None",10161,8732,NA,10,4,5,330,"Dormitory",1.4,"Medium Risk"
20,2,"Medicine","Undergraduate","Not Working",3.15,18,0,0,"None",NA,14231,NA,8,1,5,87,"Home",3.5,"Low Risk"
21,4,"Business","Graduate","Not Working",1.5,8,1,1,"None",30887,12439,NA,8,4,1,12,"Home",0.5,"Medium Risk"
21,1,"Engineering","Undergraduate","Working",3.15,9,1,0,"Full",70124,12952,"Current",13,1,7,45,"Home",1.8,"Low Risk"
21,1,"Engineering","Undergraduate","Not Working",3.47,14,0,0,"Partial",27590,13048,"Current",0,4,11,56,"Home",2.2,"Low Risk"
20,1,"Science","Undergraduate","Not Working",2.3,18,2,0,"Partial",10689,12668,NA,6,2,NA,7,"Home",0.5,"Medium Risk"
21,2,"Science","Graduate","Working",1.92,12,2,1,"None",30596,12814,"Current",18,0,5,78,"Home",3.1,"Medium Risk"
19,3,"Business","Undergraduate","Not Working",1.49,21,0,0,"None",62899,10760,NA,6,3,4,49,"Apartment",0.3,"Medium Risk"
22,3,"Science","Undergraduate",NA,3.8,16,0,0,"Partial",57801,9659,"Current",1,5,7,27,"Home",1.1,"Low Risk"
24,3,"Engineering","Undergraduate","Not Working",3.59,15,1,0,"Partial",22040,14385,"Delayed",0,2,7,142,"Dormitory",1.1,"Low Risk"
24,4,"Business","Graduate","Working",2.79,10,0,1,"None",11701,9318,"Delayed",9,1,10,40,"Home",1.6,"Medium Risk"
24,2,"Science","Undergraduate","Not Working",2.05,12,1,0,"None",47106,11617,"Delayed",6,3,6,16,"Home",0.6,"Medium Risk"
19,2,"Engineering","Undergraduate","Not Working",2.57,14,0,0,"None",14732,10083,"Delayed",1,1,NA,257,"Dormitory",0.8,"Low Risk"
26,4,"Liberal Arts","Graduate","Working",2.82,9,1,0,"None",NA,12521,NA,13,0,4,377,"Apartment",0.8,"Low Risk"
20,1,"Business","Undergraduate","Not Working",2.02,19,1,1,"None",60297,8057,NA,8,1,4,83,"Apartment",1.5,"Medium Risk"
22,2,"Business","Undergraduate","Not Working",1.69,15,1,1,"None",13303,10506,"Delayed",6,1,4,172,"Dormitory",0.4,"Medium Risk"
18,2,"Business","Graduate","Not Working",2.81,10,1,0,"None",NA,10006,NA,0,6,6,122,"Apartment",0.8,"Low Risk"
21,3,"Engineering","Undergraduate","Not Working",2.25,21,0,0,"None",NA,8226,NA,1,3,4,800,"Apartment",0.3,"Low Risk"
25,2,"Science","Undergraduate","Not Working",2.65,13,0,0,"Partial",53140,12532,"Current",2,2,6,18,"Home",0.7,"Low Risk"
21,6,"Medicine","Undergraduate","Working",3.57,15,0,0,"Partial",28276,14025,NA,8,1,6,143,"Dormitory",0.9,"Low Risk"
24,4,"Liberal Arts","Undergraduate","Not Working",3.12,21,0,0,"None",15395,10432,NA,0,1,4,7,"Home",0.5,"Low Risk"
20,1,"Science","Undergraduate","Working",1.06,9,1,0,"None",43921,15978,"Delayed",23,0,2,12,"Home",0.5,"Medium Risk"
22,2,"Engineering","Graduate","Not Working",2.61,11,2,0,"Full",13319,11816,"Current",5,2,6,479,"Dormitory",0.2,"Low Risk"
18,3,"Engineering","Undergraduate","Not Working",2.91,13,0,0,"None",30596,13089,"Current",2,1,8,19,"Home",0.8,"Low Risk"
21,3,"Science","Undergraduate","Not Working",3.03,12,0,0,"None",43221,6555,"Delayed",0,2,6,170,"Dormitory",1.1,"Low Risk"
21,2,"Engineering","Graduate","Not Working",2.54,6,0,0,"Full",NA,15725,NA,9,2,5,39,"Home",1.6,"Medium Risk"
22,4,"Business","Undergraduate","Not Working",2.42,14,1,1,"Partial",69703,10124,"Current",5,2,NA,7,"Home",0.5,"Low Risk"
18,3,"Medicine","Undergraduate","Working",2.21,12,1,0,"None",5037,15397,"Delayed",10,0,6,76,"Apartment",0.8,"Medium Risk"
20,1,"Liberal Arts","Undergraduate","Not Working",4,15,0,0,"None",NA,13373,NA,1,6,8,8,"Home",0.5,"Low Risk"
20,1,"Business","Undergraduate",NA,2.96,17,0,0,"None",NA,11621,"Current",0,2,4,246,"Apartment",1.4,"Low Risk"
22,1,"Liberal Arts","Graduate","Not Working",2.97,6,0,0,"None",106869,8044,"Current",2,3,8,14,"Home",0.6,"Low Risk"
19,6,"Business","Undergraduate","Not Working",2.16,17,0,0,"None",67216,8790,"Current",9,2,5,55,"Home",2.2,"Low Risk"
18,2,"Engineering","Graduate","Not Working",2.45,11,0,0,"None",10023,13145,"Overdue",8,3,6,49,"Home",2,"Low Risk"
23,3,"Science","Undergraduate","Not Working",2.31,13,0,0,"None",NA,13474,NA,1,3,5,182,"Dormitory",0.7,"Low Risk"
20,3,"Engineering","Undergraduate","Not Working",2.46,20,0,1,"None",NA,12475,NA,0,1,NA,113,"Dormitory",1.4,"Low Risk"
23,3,"Business","Undergraduate","Not Working",3.76,17,0,0,"Partial",12130,9365,NA,0,3,8,59,"Apartment",0.2,"Low Risk"
22,2,"Business","Undergraduate",NA,1.79,10,1,2,"None",NA,7248,NA,22,0,NA,377,"Dormitory",1.2,"Medium Risk"
23,1,"Engineering","Undergraduate","Not Working",1.72,13,1,1,"None",NA,11824,NA,13,3,6,35,"Apartment",1.3,"Medium Risk"
23,1,"Liberal Arts","Graduate","Not Working",2.49,6,0,0,"None",NA,7533,"Current",3,3,6,277,"Dormitory",0.7,"Low Risk"
21,2,"Science","Undergraduate","Not Working",2.37,12,0,0,"None",21837,11400,"Current",3,4,7,5,"Home",0.5,"Low Risk"
18,3,"Liberal Arts","Undergraduate","Working",2.27,13,1,0,"None",39852,11789,"Delayed",11,0,1,5,"Home",0.5,"Medium Risk"
19,4,"Liberal Arts","Undergraduate","Not Working",3.43,19,1,0,"Partial",41022,11981,"Current",0,3,NA,31,"Home",1.2,"Low Risk"
22,1,"Medicine","Graduate","Not Working",2.65,8,2,0,"None",11532,13791,NA,5,2,NA,122,"Dormitory",0.8,"Medium Risk"
21,2,"Science","Undergraduate","Not Working",2.13,17,0,1,"None",35978,7138,NA,6,2,2,5,"Home",0.5,"Low Risk"
19,1,"Liberal Arts","Undergraduate","Not Working",3.14,18,0,0,"None",29667,8978,"Delayed",3,1,8,109,"Dormitory",1.2,"Low Risk"
18,2,"Liberal Arts","Graduate","Not Working",2.09,8,1,1,"None",NA,11442,NA,5,2,3,10,"Home",0.5,"Medium Risk"
19,5,"Medicine","Undergraduate","Not Working",1.9,19,1,0,"None",38349,14501,"Current",2,2,6,800,"Apartment",0.6,"Medium Risk"
21,6,"Business","Graduate","Not Working",1.79,8,1,0,"None",18051,14704,NA,3,4,NA,22,"Home",0.9,"Medium Risk"
23,5,"Engineering","Undergraduate",NA,2.15,10,0,0,"Partial",20456,12469,"Delayed",13,1,3,56,"Home",2.2,"Medium Risk"
22,3,"Science","Undergraduate","Not Working",2.82,12,0,1,"Full",7006,11643,"Current",0,4,6,49,"Apartment",1,"Low Risk"
24,6,"Business","Undergraduate",NA,1.47,13,1,0,"None",215593,11299,"Current",6,2,2,16,"Home",0.6,"Medium Risk"
22,4,"Engineering","Graduate","Not Working",2.22,12,0,0,"None",37153,8453,"Current",5,0,8,24,"Home",1,"Low Risk"
23,1,"Business","Graduate","Not Working",2.58,11,0,0,"None",22788,8716,NA,2,1,5,304,"Dormitory",0.8,"Low Risk"
20,1,"Liberal Arts","Graduate","Not Working",2.65,10,0,0,"None",84629,11514,"Current",7,4,6,23,"Home",0.9,"Low Risk"
19,4,"Liberal Arts","Undergraduate","Working",2.2,11,2,0,"None",NA,9817,NA,17,1,2,46,"Home",1.8,"Medium Risk"
21,2,"Business","Graduate","Working",4,11,0,0,"Partial",9813,9565,"Current",0,3,10,10,"Home",0.5,"Low Risk"
24,3,"Business","Undergraduate","Not Working",2.76,19,0,0,"None",55051,10265,"Current",2,2,5,339,"Apartment",0.9,"Low Risk"
27,2,"Science","Undergraduate","Not Working",2.38,12,0,0,"None",25041,13324,"Current",6,3,NA,33,"Home",1.3,"Low Risk"
19,1,"Medicine","Undergraduate",NA,3.21,15,0,0,"None",58112,14582,"Current",0,3,6,208,"Apartment",0.8,"Low Risk"
23,2,"Liberal Arts","Undergraduate","Not Working",1.82,17,1,0,"None",171862,10526,"Current",8,2,5,173,"Apartment",1.2,"Low Risk"
25,1,"Liberal Arts","Graduate",NA,1.3,9,1,0,"None",24099,11402,NA,11,1,2,76,"Home",3,"Medium Risk"
20,1,"Liberal Arts","Graduate","Not Working",4,11,0,0,"Partial",96156,10821,"Current",0,2,5,235,"Apartment",1,"Low Risk"
22,3,"Science","Undergraduate","Not Working",2.16,16,0,0,"None",34763,13342,"Current",2,3,NA,123,"Apartment",1.1,"Low Risk"
23,4,"Medicine","Undergraduate","Not Working",3.23,13,0,0,"None",24551,14380,NA,0,2,6,101,"Dormitory",0.5,"Low Risk"
24,1,"Business","Graduate","Not Working",2.65,12,0,0,"None",49466,11029,"Current",4,3,NA,560,"Apartment",0.8,"Low Risk"
18,4,"Medicine","Graduate","Not Working",2.06,8,0,0,"None",NA,13000,"Current",3,3,3,69,"Apartment",1,"Medium Risk"
18,3,"Science","Undergraduate","Working",1.45,13,1,1,"None",51630,14269,"Current",12,0,4,11,"Home",0.5,"Medium Risk"
21,1,"Engineering","Undergraduate","Not Working",4,19,0,0,"Partial",18744,11299,"Current",0,3,9,80,"Home",3.2,"Low Risk"
23,1,"Science","Graduate",NA,1.75,7,2,0,"None",61606,13973,"Current",6,3,2,28,"Home",1.1,"Medium Risk"
19,1,"Liberal Arts","Graduate","Not Working",1.77,8,1,0,"None",12306,11069,"Delayed",0,4,NA,152,"Dormitory",1.2,"Medium Risk"
20,6,"Engineering","Graduate","Not Working",2.19,7,1,0,"None",20943,10906,"Delayed",3,2,5,116,"Dormitory",1.2,"Medium Risk"
24,1,"Science","Graduate","Not Working",1.74,11,0,0,"None",31573,12654,"Delayed",3,2,7,78,"Apartment",1.5,"Medium Risk"
25,2,"Liberal Arts","Undergraduate","Not Working",3.62,18,0,0,"Partial",NA,10720,NA,2,2,NA,14,"Home",0.6,"Low Risk"
22,2,"Engineering","Graduate","Not Working",1.54,11,0,0,"None",NA,12628,NA,4,3,5,508,"Dormitory",0.8,"Medium Risk"
21,4,"Engineering","Undergraduate","Working",0.52,11,3,1,"None",NA,13933,NA,21,0,NA,800,"Dormitory",1.5,"High Risk"
23,4,"Medicine","Undergraduate","Not Working",0.56,19,2,1,"None",30332,16705,NA,19,2,1,454,"Dormitory",1,"High Risk"
21,1,"Liberal Arts","Graduate","Working",2.92,15,2,0,"None",26153,12304,NA,8,2,5,87,"Apartment",1.2,"Low Risk"
24,4,"Business","Graduate","Working",1.38,13,1,0,"None",33690,8210,"Current",14,0,0,151,"Apartment",0.7,"Medium Risk"
22,4,"Business","Undergraduate",NA,3.54,18,0,0,"Full",8903,9036,NA,0,5,10,23,"Home",0.9,"Low Risk"
18,5,"Liberal Arts","Undergraduate","Not Working",3.15,12,0,0,"Partial",47501,8249,"Current",0,4,7,207,"Apartment",0.4,"Low Risk"
18,6,"Business","Undergraduate","Not Working",3.24,17,0,0,"Partial",31283,7985,"Current",0,3,4,25,"Home",1,"Low Risk"
19,5,"Science","Undergraduate",NA,0.95,9,2,3,"None",6370,10818,NA,24,0,2,63,"Apartment",0.9,"High Risk"
28,5,"Engineering","Undergraduate","Working",1.14,9,3,2,"None",141280,12330,"Current",19,0,NA,28,"Home",1.1,"High Risk"
20,2,"Business","Graduate","Not Working",2.52,11,1,0,"Partial",10350,12101,"Current",6,3,8,194,"Dormitory",1,"Medium Risk"
21,1,"Science","Undergraduate","Not Working",2.36,20,0,0,"None",47317,13252,"Current",1,2,6,9,"Home",0.5,"Low Risk"
21,3,"Engineering","Undergraduate","Not Working",3.11,14,1,0,"None",91924,12265,"Current",7,4,9,46,"Home",1.8,"Low Risk"
24,3,"Business","Undergraduate",NA,3.64,14,0,0,"Partial",67608,8354,"Current",2,3,9,25,"Home",1,"Low Risk"
19,5,"Science","Graduate",NA,1.62,15,0,0,"None",NA,13637,NA,17,0,1,28,"Home",1.1,"High Risk"
18,2,"Engineering","Undergraduate","Not Working",1.42,14,0,1,"None",43568,9712,"Current",6,3,5,266,"Dormitory",1.1,"Medium Risk"
21,1,"Medicine","Graduate","Not Working",2.56,11,1,1,"None",NA,14404,"Current",7,3,6,68,"Home",2.7,"Medium Risk"
22,2,"Liberal Arts","Graduate","Not Working",2.89,9,0,1,"Full",7649,11350,"Current",1,3,5,25,"Home",1,"Low Risk"
19,6,"Engineering","Undergraduate","Not Working",2.36,15,0,0,"None",175126,13335,"Current",3,2,NA,34,"Home",1.4,"Low Risk"
28,6,"Liberal Arts","Undergraduate","Working",3.46,11,0,0,"None",54157,10918,"Current",4,0,7,307,"Dormitory",0.7,"Low Risk"
21,2,"Engineering","Undergraduate","Not Working",1.8,13,0,1,"None",93593,12153,"Current",12,3,4,9,"Home",0.5,"Low Risk"
18,3,"Business","Undergraduate","Not Working",2.46,19,0,0,"None",7220,8312,"Delayed",8,1,6,44,"Home",1.8,"Low Risk"
23,4,"Business","Graduate","Not Working",2.63,11,0,0,"None",NA,9382,NA,8,3,5,12,"Home",0.5,"Low Risk"
18,3,"Business","Graduate","Not Working",1.48,12,2,3,"None",NA,11398,"Current",8,3,0,339,"Apartment",0.7,"Medium Risk"
20,1,"Medicine","Undergraduate","Not Working",3.94,21,0,0,"None",46341,12267,"Current",0,3,9,467,"Apartment",0.3,"Low Risk"
21,1,"Engineering","Undergraduate","Working",3.57,13,0,0,"None",20528,9568,"Delayed",6,1,5,24,"Home",1,"Low Risk"
19,3,"Science","Graduate","Not Working",2.38,7,0,0,"None",NA,9914,NA,8,3,4,45,"Home",1.8,"Low Risk"
24,3,"Science","Graduate",NA,1.78,13,3,0,"None",NA,10753,"Current",15,0,7,234,"Dormitory",0.3,"Medium Risk"
20,5,"Business","Undergraduate","Not Working",2.32,20,0,1,"None",99730,5526,"Current",3,3,7,49,"Home",2,"Low Risk"
24,1,"Liberal Arts","Undergraduate","Not Working",3.15,14,0,0,"Partial",NA,9478,NA,4,3,8,22,"Home",0.9,"Low Risk"
18,2,"Liberal Arts","Undergraduate","Not Working",0.5,16,1,3,"None",NA,7465,NA,7,2,NA,61,"Apartment",0.3,"High Risk"
24,2,"Business","Undergraduate","Not Working",3.51,18,0,0,"Partial",33214,14079,NA,0,4,NA,648,"Dormitory",1,"Low Risk"
18,2,"Engineering","Undergraduate","Not Working",2.29,12,0,0,"None",23522,14629,"Delayed",6,2,6,69,"Apartment",0.2,"Low Risk"
21,2,"Liberal Arts","Undergraduate","Not Working",0.98,13,0,0,"None",53246,11877,"Current",5,3,1,16,"Home",0.6,"Medium Risk"
22,1,"Liberal Arts","Undergraduate","Not Working",2.53,18,0,0,"None",143538,9787,"Current",2,2,5,51,"Apartment",0.3,"Low Risk"
19,1,"Liberal Arts","Undergraduate",NA,1.73,12,0,0,"None",NA,9172,"Current",9,2,4,21,"Home",0.8,"Medium Risk"
18,4,"Science","Undergraduate","Not Working",3.3,21,1,0,"Partial",NA,14463,NA,1,3,NA,15,"Home",0.6,"Low Risk"
22,2,"Engineering","Undergraduate","Not Working",2.96,18,1,0,"None",102824,12062,"Current",0,2,8,76,"Apartment",1.2,"Low Risk"
21,3,"Engineering","Undergraduate","Not Working",1.57,15,1,1,"None",60359,11621,"Current",7,1,4,5,"Home",0.5,"Low Risk"
23,6,"Engineering","Undergraduate","Not Working",2.25,21,0,0,"None",NA,12422,"Delayed",1,5,4,83,"Apartment",0.4,"Low Risk"
25,5,"Liberal Arts","Undergraduate","Working",3.72,14,0,0,"Partial",25593,8169,NA,3,1,5,197,"Dormitory",1,"Low Risk"
18,2,"Liberal Arts","Undergraduate","Not Working",1.58,20,1,0,"None",NA,13454,NA,8,3,3,172,"Dormitory",0.6,"Medium Risk"
22,3,"Science","Undergraduate","Not Working",1.08,13,1,0,"None",64563,14039,"Current",13,1,NA,130,"Apartment",1.3,"Medium Risk"
18,2,"Liberal Arts","Undergraduate","Not Working",1.62,20,0,0,"None",8108,8311,"Delayed",3,4,2,28,"Home",1.1,"Low Risk"
24,4,"Science","Undergraduate","Not Working",2.97,19,0,0,"None",72174,12632,"Current",5,1,7,22,"Home",0.9,"Low Risk"
20,1,"Engineering","Undergraduate","Not Working",2.74,16,0,0,"None",19226,13897,NA,4,3,5,7,"Home",0.5,"Low Risk"
23,1,"Engineering","Undergraduate","Not Working",2.54,19,1,0,"None",32318,12876,NA,5,3,5,33,"Home",1.3,"Low Risk"
23,1,"Science","Graduate","Not Working",1.5,9,3,2,"None",89919,11619,"Current",10,1,3,54,"Home",2.2,"Medium Risk"
19,1,"Business","Undergraduate","Not Working",1.67,20,1,1,"None",32119,10156,"Delayed",0,3,1,182,"Apartment",0.6,"Low Risk"
18,2,"Engineering","Undergraduate",NA,2.77,15,0,0,"None",NA,12824,NA,0,4,7,112,"Dormitory",0.3,"Low Risk"
20,1,"Science","Graduate","Not Working",2.84,8,0,0,"None",NA,12392,NA,1,4,9,45,"Home",1.8,"Low Risk"
23,1,"Science","Undergraduate","Not Working",2.57,14,0,0,"None",66338,14653,"Current",8,3,7,800,"Apartment",0.8,"Low Risk"
23,4,"Engineering","Undergraduate","Not Working",3.22,16,0,0,"None",85804,13887,"Current",4,2,7,53,"Home",2.1,"Low Risk"
24,1,"Science","Undergraduate","Not Working",3.96,15,0,0,"None",14531,12427,NA,0,4,10,14,"Home",0.6,"Low Risk"
18,5,"Science","Undergraduate","Not Working",2.52,12,0,0,"None",53050,14454,"Current",0,4,5,22,"Home",0.9,"Low Risk"
20,2,"Liberal Arts","Graduate","Not Working",2.77,12,0,0,"None",33276,10039,NA,6,5,8,86,"Home",3.4,"Low Risk"
22,1,"Science","Undergraduate","Not Working",1.16,14,5,2,"None",NA,13682,NA,8,3,3,127,"Apartment",0.5,"High Risk"
19,4,"Engineering","Undergraduate","Working",1.55,15,0,1,"None",70256,10425,NA,15,0,2,33,"Apartment",0.3,"Medium Risk"
19,4,"Business","Graduate","Working",2.03,11,2,0,"None",NA,10174,NA,16,2,1,135,"Dormitory",0.8,"Medium Risk"
22,1,"Business","Graduate",NA,1.81,15,1,1,"None",40824,9893,NA,15,0,5,143,"Apartment",0.9,"Medium Risk"
20,5,"Medicine","Undergraduate","Not Working",3.83,19,0,0,"None",24458,14494,"Delayed",0,2,7,21,"Home",0.8,"Low Risk"
21,1,"Engineering","Undergraduate","Working",2.68,13,0,0,"Partial",NA,16986,"Current",17,0,5,64,"Home",2.6,"Low Risk"
21,2,"Engineering","Undergraduate","Working",2.92,15,0,0,"None",100735,9082,NA,7,1,NA,24,"Home",1,"Low Risk"
22,2,"Science","Undergraduate","Working",3.62,15,0,0,"Full",NA,11808,"Current",8,1,8,155,"Dormitory",1.1,"Low Risk"
19,1,"Business","Undergraduate",NA,1.22,19,1,2,"None",NA,12601,NA,6,2,5,77,"Apartment",0.2,"High Risk"
25,1,"Science","Undergraduate","Working",2.57,13,0,0,"None",19946,10851,NA,8,0,6,6,"Home",0.5,"Low Risk"
20,1,"Science","Graduate","Not Working",2.55,10,0,0,"None",10874,10282,"Delayed",7,2,5,93,"Home",3.7,"Low Risk"
20,2,"Business","Undergraduate","Working",0.76,13,2,2,"None",NA,10704,NA,26,0,NA,104,"Dormitory",1.3,"High Risk"
21,4,"Business","Undergraduate",NA,1.59,14,1,0,"None",18641,8086,"Delayed",10,1,3,9,"Home",0.5,"Medium Risk"
21,1,"Medicine","Undergraduate","Not Working",4,20,0,0,"Partial",28711,14575,"Current",0,5,8,304,"Dormitory",1,"Low Risk"
21,4,"Business","Undergraduate",NA,2.2,13,1,0,"None",29559,10120,"Current",14,0,2,21,"Home",0.8,"Medium Risk"
20,1,"Business","Undergraduate","Working",2.73,10,0,0,"None",31056,9128,"Delayed",9,0,3,740,"Dormitory",0.8,"Low Risk"
20,6,"Science","Graduate","Not Working",2.21,9,0,0,"None",53274,7710,"Current",10,3,6,67,"Home",2.7,"Medium Risk"
27,3,"Business","Graduate","Working",2.7,11,1,0,"None",NA,10180,NA,11,0,9,83,"Home",3.3,"Low Risk"
19,1,"Engineering","Graduate","Working",2.16,12,1,0,"Partial",15246,5870,NA,15,0,NA,313,"Dormitory",0.5,"Medium Risk"
21,3,"Business","Undergraduate",NA,1.11,14,1,1,"None",NA,12144,NA,15,0,4,38,"Home",1.5,"High Risk"
20,3,"Science","Undergraduate","Not Working",4,13,0,0,"Partial",5656,9640,NA,0,2,10,325,"Dormitory",0.6,"Low Risk"
22,4,"Business","Undergraduate","Not Working",2.63,17,0,0,"Partial",24258,7827,"Current",5,3,4,5,"Home",0.5,"Low Risk"
21,4,"Science","Graduate","Not Working",2.76,10,0,0,"Partial",42649,12492,"Current",8,2,6,110,"Dormitory",1.2,"Low Risk"
25,5,"Liberal Arts","Undergraduate","Working",3.14,10,0,0,"Partial",NA,8689,NA,14,0,6,708,"Dormitory",1,"Low Risk"
22,2,"Medicine","Undergraduate",NA,1.94,16,0,1,"None",26462,15226,NA,7,3,5,212,"Dormitory",0.7,"Low Risk"
18,1,"Liberal Arts","Undergraduate","Not Working",1.89,15,2,0,"None",NA,9454,NA,10,1,3,370,"Dormitory",0.6,"Medium Risk"
23,5,"Science","Undergraduate","Working",3.52,9,1,0,"None",NA,15003,"Delayed",9,1,5,106,"Dormitory",0.9,"Low Risk"
21,3,"Liberal Arts","Undergraduate","Working",1.75,15,0,0,"None",75457,9628,"Current",14,0,4,473,"Apartment",0.2,"Medium Risk"
24,4,"Science","Undergraduate","Not Working",1.62,14,1,0,"None",30207,13382,"Delayed",1,1,5,303,"Apartment",0.6,"Medium Risk"
21,3,"Engineering","Undergraduate",NA,2.18,11,1,0,"None",19386,13188,"Delayed",13,0,4,7,"Home",0.5,"Medium Risk"
23,2,"Engineering","Graduate","Not Working",3.38,12,0,0,"Partial",28751,12501,"Current",0,4,8,37,"Apartment",0.6,"Low Risk"
23,2,"Liberal Arts","Graduate","Working",2.26,13,2,0,"None",5502,12853,NA,15,1,5,72,"Home",2.9,"Medium Risk"
18,3,"Engineering","Undergraduate","Not Working",3.11,13,1,0,"None",NA,11067,"Delayed",1,2,9,49,"Home",2,"Low Risk"
25,3,"Science","Undergraduate","Working",2.31,15,1,0,"Partial",15720,7901,"Current",21,1,4,51,"Home",2,"Medium Risk"
22,1,"Science","Undergraduate","Not Working",1.85,13,2,1,"None",10586,9202,"Delayed",9,3,5,122,"Dormitory",0.8,"Medium Risk"
20,1,"Liberal Arts","Graduate","Not Working",2.79,8,0,0,"None",69935,7476,"Current",0,3,4,250,"Apartment",0.4,"Low Risk"
21,4,"Engineering","Undergraduate","Not Working",1.36,14,1,1,"None",23087,10082,"Current",12,2,4,258,"Dormitory",0.9,"Medium Risk"
